sequence,component_path,label,current_commandId,eventCalled,captureSource,lastSavedAtUtc,observed_commandId,observed_terminated_commandId,status,methodContext,evidence_line,notes
15,components.toolbarGroups.create.tools[2],2-Point Rectangle,ShapeRectangleTwoPoint,ShapeRectangleTwoPoint,command_started,2026-03-03T14:22:10.092351Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:22:10.092351Z;event=saved;commandId=ShapeRectangleTwoPoint;source=command_started,saved from latest observed command (manual save fallback)
16,components.toolbarGroups.create.tools[3],Center Diameter Circle,CircleCenterRadius,CircleCenterRadius,command_started,2026-03-03T14:22:43.773435Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:22:43.773435Z;event=saved;commandId=CircleCenterRadius;source=command_started,saved from latest observed command (manual save fallback)
17,components.toolbarGroups.create.tools[4],3-Point Arc,ArcThreePoint,ArcThreePoint,command_terminated,2026-03-03T14:23:53.049517Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:23:53.049517Z;event=saved;commandId=ArcThreePoint;source=command_terminated,saved from latest observed command (manual save fallback)
18,components.toolbarGroups.create.tools[5],Mirror,MirrorSketchCommand,MirrorSketchCommand,command_started,2026-03-03T14:24:08.461089Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:24:08.461089Z;event=saved;commandId=MirrorSketchCommand;source=command_started,saved from latest observed command (manual save fallback)
19,components.toolbarGroups.create.tools[6],Sketch Dimension,SketchDimension,SketchDimension,command_terminated,2026-03-03T14:24:55.691082Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:24:55.691082Z;event=saved;commandId=SketchDimension;source=command_terminated,saved from latest observed command (manual save fallback)
20,components.toolbarGroups.modify,MODIFY,SketchModifyPanel,,,,,,missing,,,
21,components.toolbarGroups.modify.tools[1],Fillet,FilletSketchCmd,FilletSketchCmd,command_started,2026-03-03T14:26:10.402383Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:26:10.402383Z;event=saved;commandId=FilletSketchCmd;source=command_started,saved from latest observed command (manual save fallback)
22,components.toolbarGroups.modify.tools[2],Trim,FilletSketchCmd,FilletSketchCmd,command_terminated,2026-03-03T14:26:21.656138Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:26:21.656138Z;event=saved;commandId=FilletSketchCmd;source=command_terminated,saved from latest observed command (manual save fallback)
23,components.toolbarGroups.modify.tools[3],Extend,ExtendSketchCmd,ExtendSketchCmd,command_terminated,2026-03-03T14:27:02.383273Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:27:02.383273Z;event=saved;commandId=ExtendSketchCmd;source=command_terminated,saved from latest observed command (manual save fallback)
24,components.toolbarGroups.modify.tools[4],Offset,Offset,Offset,command_terminated,2026-03-03T14:27:16.834431Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:27:16.834431Z;event=saved;commandId=Offset;source=command_terminated,saved from latest observed command (manual save fallback)
25,components.toolbarGroups.constraints,CONSTRAINTS,SketchConstraintsPanel,,,,,,missing,,,
26,components.toolbarGroups.constraints.tools[1],Horizontal/Vertical,ConstraintHorizontalVertical,ConstraintHorizontalVertical,command_started,2026-03-03T14:27:51.518824Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:27:51.518824Z;event=saved;commandId=ConstraintHorizontalVertical;source=command_started,saved from latest observed command (manual save fallback)
27,components.toolbarGroups.constraints.tools[2],Coincident,ConstraintCoincident,ConstraintCoincident,command_terminated,2026-03-03T14:29:06.896281Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:29:06.896281Z;event=saved;commandId=ConstraintCoincident;source=command_terminated,saved from latest observed command (manual save fallback)
28,components.toolbarGroups.constraints.tools[3],Tangent,ConstraintTangent,ConstraintTangent,command_started,2026-03-03T14:29:12.348577Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:29:12.348577Z;event=saved;commandId=ConstraintTangent;source=command_started,saved from latest observed command (manual save fallback)
29,components.toolbarGroups.constraints.tools[4],Equal,ConstraintEqual,ConstraintEqual,command_terminated,2026-03-03T14:29:26.415789Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:29:26.415789Z;event=saved;commandId=ConstraintEqual;source=command_terminated,saved from latest observed command (manual save fallback)
30,components.browser.items.documentSettings,Document Settings,DocumentSettingsCommand,,,,,,missing,,,
31,components.browser.items.namedViews,Named Views,NamedViewsFolderCommand,,,,,,missing,,,
32,components.browser.items.origin,Origin,OriginFolderCommand,,,,,,missing,,,
33,components.browser.items.sketches,Sketches,SketchesFolderCommand,,,,,,missing,,,
34,components.finishSketch,FINISH SKETCH,SketchStop,SketchStop,command_terminated,2026-03-03T14:30:41.551663Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T141836.290629Z;utc=2026-03-03T14:30:41.551663Z;event=saved;commandId=SketchStop;source=command_terminated,saved from latest observed command (manual save fallback)
