sequence,component_path,label,current_commandId,eventCalled,captureSource,lastSavedAtUtc,observed_commandId,observed_terminated_commandId,status,methodContext,evidence_line,notes
48,components.toolbarGroups.create.tools[5],Mirror,MirrorSketchCommand,MirrorSketchCommand,command_terminated,2026-03-03T11:32:26.649992Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:32:26.649992Z;event=saved;commandId=MirrorSketchCommand;source=command_terminated,saved from latest observed command (manual save fallback)
49,components.toolbarGroups.create.tools[6],Sketch Dimension,SketchDimension,SketchDimension,command_started,2026-03-03T11:32:40.289467Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:32:40.289467Z;event=saved;commandId=SketchDimension;source=command_started,saved from latest observed command (manual save fallback)
50,components.toolbarGroups.modify.tools[1],Fillet,FilletSketchCmd,FilletSketchCmd,command_started,2026-03-03T11:33:01.781642Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:33:01.781642Z;event=saved;commandId=FilletSketchCmd;source=command_started,saved from latest observed command (manual save fallback)
51,components.toolbarGroups.modify.tools[2],Trim,TrimSketchCmd,TrimSketchCmd,command_started,2026-03-03T11:33:26.736763Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:33:26.736763Z;event=saved;commandId=TrimSketchCmd;source=command_started,saved from latest observed command (manual save fallback)
52,components.toolbarGroups.modify.tools[3],Extend,ExtendSketchCmd,ExtendSketchCmd,command_terminated,2026-03-03T11:33:47.304354Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:33:47.304354Z;event=saved;commandId=ExtendSketchCmd;source=command_terminated,saved from latest observed command (manual save fallback)
53,components.toolbarGroups.modify.tools[4],Offset,Offset,Offset,command_terminated,2026-03-03T11:34:03.462796Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:34:03.462796Z;event=saved;commandId=Offset;source=command_terminated,saved from latest observed command (manual save fallback)
54,components.toolbarGroups.constraints.tools[1],Horizontal/Vertical,ConstraintHorizontalVertical,ConstraintHorizontalVertical,command_started,2026-03-03T11:34:18.012141Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:34:18.012141Z;event=saved;commandId=ConstraintHorizontalVertical;source=command_started,saved from latest observed command (manual save fallback)
55,components.toolbarGroups.constraints.tools[2],Coincident,ConstraintCoincident,ConstraintCoincident,command_started,2026-03-03T11:35:17.738143Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:35:17.738143Z;event=saved;commandId=ConstraintCoincident;source=command_started,saved from latest observed command (manual save fallback)
56,components.toolbarGroups.constraints.tools[3],Tangent,ConstraintTangent,ConstraintTangent,command_terminated,2026-03-03T11:35:31.234218Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:35:31.234218Z;event=saved;commandId=ConstraintTangent;source=command_terminated,saved from latest observed command (manual save fallback)
57,components.toolbarGroups.constraints.tools[4],Equal,ConstraintEqual,ConstraintEqual,command_started,2026-03-03T11:35:37.322892Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:35:37.322892Z;event=saved;commandId=ConstraintEqual;source=command_started,saved from latest observed command (manual save fallback)
58,components.finishSketch,FINISH SKETCH,SketchStop,SketchStop,command_terminated,2026-03-03T11:35:51.455768Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T110806.699939Z;utc=2026-03-03T11:35:51.455768Z;event=saved;commandId=SketchStop;source=command_terminated,saved from latest observed command (manual save fallback)
